train_id,train_number,train_name,source_station_id,dest_station_id
1,12951,Mumbai Rajdhani Express,1,2
2,12301,Howrah Rajdhani Express,1,3
3,12621,Tamil Nadu Express,1,4
4,12627,Karnataka Express,1,5
5,12958,Ahmedabad Rajdhani Express,1,10
6,12309,Rajendra Nagar Rajdhani,1,11
7,12002,Bhopal Shatabdi Express,1,8
8,12004,Lucknow Shatabdi Express,1,12
9,12956,Jaipur Rajdhani Express,1,6
10,12034,Kanpur Shatabdi Express,1,7
11,12809,Howrah Mumbai Mail,3,2
12,12290,Mumbai Nagpur Express,2,9
13,12615,Grand Trunk Express,1,4
14,12139,Sewagram Express,9,2
15,12471,Swaraj Express,2,1
