schedule_id,train_id,station_id,stop_number,arrival_time,departure_time,day_number,distance_km
1,1,1,1,-,16:25,1,0
2,1,6,2,20:05,20:10,1,308
3,1,10,3,05:30,05:40,2,1200
4,1,2,4,08:15,-,2,1384
5,2,1,1,-,16:50,1,0
6,2,7,2,22:05,22:10,1,440
7,2,11,3,04:00,04:10,2,999
8,2,3,4,09:55,-,2,1451
9,3,1,1,-,22:30,1,0
10,3,8,2,07:10,07:15,2,707
11,3,9,3,11:45,11:55,2,1092
12,3,4,4,07:40,-,3,2175
13,7,1,1,-,06:00,1,0
14,7,7,2,10:15,10:17,1,440
15,7,8,3,13:35,-,1,707
16,9,1,1,-,19:55,1,0
17,9,6,2,00:10,-,2,308
18,10,1,1,-,06:10,1,0
19,10,7,2,10:55,-,1,440
